track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,stream_percentage,spotify_percentage,more_than_10M_streams,three_or_more_artist,Summer,top10_more_in_spotify_than_apple
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,2023-06-23,1.0720900891265366,96.73913043478261,True,False,True,False
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,2023-07-07,1.0591263579622665,89.6774193548387,True,False,True,False
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,2021-07-09,71.96056769290652,97.19530270208642,True,False,True,True
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,2023-03-03,6.03778545374636,96.35369188696444,True,False,False,True
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,2018-11-08,77.9515012254907,97.59247100021886,True,False,False,True
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,2022-05-06,38.89845120380427,98.8410965010029,True,False,False,True
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,2015-06-22,4.467840737758437,97.58454106280193,True,False,False,True
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,2012-06-20,1.5673989095296925,99.84423676012462,True,False,False,False
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,2023-03-24,4.240370390146748,96.20758483033931,True,False,False,True
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,2023-03-17,2.5684312352094456,96.51860744297718,True,False,False,True
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,2023-03-17,6.757892515828864,98.5929648241206,True,False,False,False
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,2017-11-08,18.494922758710956,99.61176951369023,True,False,False,False
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,2020-06-05,1.0370692266538002,93.93939393939394,True,False,False,False
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,2023-05-12,3.903057379103283,96.92513368983957,True,False,False,True
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,2023-03-17,3.4441456210646426,97.60858955588093,True,False,False,True
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,2022-12-09,10.790984896026242,97.9979288919572,True,False,False,True
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,2011-01-01,26.556840524581233,99.56419547546763,True,False,False,True
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,2023-06-09,3.198858084066773,97.11815561959655,True,False,False,False
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,2012-01-01,23.835210403155173,98.14126394052045,True,False,False,True
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,2022-12-02,7.732404921792339,99.20075223319229,True,True,False,False
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,2023-04-14,4.666058366857506,97.8328173374613,True,False,False,True
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,2004-01-01,33.52036216455737,99.62406015037594,True,False,False,False
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,2023-07-07,0.798138700189324,90.58823529411765,True,False,True,False
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,2022-04-20,2.0872516487490542,97.79411764705883,True,False,False,False
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,2017-11-10,43.338822345916164,98.21237372561798,True,True,False,True
